cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,00,S,DEMOCRATIC PARTY,140000,01-AUG-24,543429,O,Media Placement/Text Messaging,Apex Strategies LLC,1807333,N,SE.4153,202408019666029395,01-AUG-24,2024,,30-JUL-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,00,S,DEMOCRATIC PARTY,23571.5,02-JUL-24,47143,O,"Mail Printing, Production, & Postage",Pathfinder Communications,1794189,N,SE.4114,202407079652573607,07-JUL-24,2024,,05-JUL-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,00,S,DEMOCRATIC PARTY,23571.5,,590572,O,"Mail printing, production, & postage",Pathfinder Communications,1808395,N,SE.4156,202408079666110437,07-AUG-24,2024,,05-AUG-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,00,S,DEMOCRATIC PARTY,23571.5,23-JUL-24,263429,O,"Mail printing, production, & postage",Pathfinder Communications,1806554,N,SE.4135,202407279665751785,27-JUL-24,2024,,25-JUL-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,00,S,DEMOCRATIC PARTY,23571.5,15-JUL-24,216286,O,"Mail printing, production, & postage",Pathfinder Communications,1802972,N,SE.4127,202407179661192482,17-JUL-24,2024,,15-JUL-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,00,S,DEMOCRATIC PARTY,61000,15-JUL-24,169143,O,Media Placement & Production,Apex Strategies LLC,1802972,N,SE.4126,202407179661192481,17-JUL-24,2024,,15-JUL-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,G,MT,00,S,DEMOCRATIC PARTY,44.54,,745.18,S,PHONEBANK IT/TECH SUPPORT(ESTIMATE),WIRED4DATA,1812629,A2,SE-S1639433,202408229675252838,22-AUG-24,2024,1809071,11-JUL-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,G,MT,00,S,DEMOCRATIC PARTY,9.12,,398.75,S,CAGING AND DATABASE SERVICES(ESTIMATE),STANDARD DATA SERVICES LLC,1812630,A2,SE-S1633235,202408229675252841,22-AUG-24,2024,1809072,04-JUL-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,P,MT,00,S,DEMOCRATIC PARTY,33.4,,1903.49,S,PHONEBANK PAYROLL SERVICES(ESTIMATE),LAV SERVICES LLC,1812641,A2,SE-S1597057,202408229675252884,22-AUG-24,2024,1809084,14-MAR-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,P,MT,00,S,DEMOCRATIC PARTY,35.15,,1903.49,S,LEADS / PHONE LISTS(ESTIMATE),CLOUD DATA SERVICES,1812641,A2,SE-S1597049,202408229675252883,22-AUG-24,2024,1809084,14-MAR-24
