"","GEOID","donations","total","NAME","variable","estimate","moe","donations_percapita"
"1","20601",1425,35154.4,"ZCTA5 20601","B01003_001",26236,1592,54.3146821161762
"2","20602",897,22974.04,"ZCTA5 20602","B01003_001",26835,1607,33.4264952487423
"3","20603",1449,54640.3600000001,"ZCTA5 20603","B01003_001",32726,1599,44.2767218725173
"4","20604",58,1159.21,NA,NA,NA,NA,NA
"5","20606",21,293.6,"ZCTA5 20606","B01003_001",314,129,66.8789808917197
"6","20607",578,12869.2,"ZCTA5 20607","B01003_001",10755,1740,53.7424453742445
"7","20608",26,960.7,"ZCTA5 20608","B01003_001",739,173,35.1826792963464
"8","20609",48,2305.44,"ZCTA5 20609","B01003_001",1211,310,39.6366639141206
"9","20610",40,2338.04,NA,NA,NA,NA,NA
"10","20611",35,826.2,"ZCTA5 20611","B01003_001",1354,242,25.8493353028065
"11","20612",146,717.07,"ZCTA5 20612","B01003_001",181,115,806.629834254144
"12","20613",1242,21712.1499999999,"ZCTA5 20613","B01003_001",13240,968,93.8066465256798
"13","20615",156,2400.24,"ZCTA5 20615","B01003_001",513,243,304.093567251462
"14","20616",292,6938.14,"ZCTA5 20616","B01003_001",6728,1155,43.4007134363853
"15","20617",122,2581.13,"ZCTA5 20617","B01003_001",715,204,170.629370629371
"16","20618",111,3086.19,"ZCTA5 20618","B01003_001",402,176,276.119402985075
"17","20619",1321,50741.1300000001,"ZCTA5 20619","B01003_001",13845,1470,95.4135066811123
"18","20620",163,5863.94,"ZCTA5 20620","B01003_001",1688,561,96.563981042654
"19","20621",39,1845.49,"ZCTA5 20621","B01003_001",1277,469,30.5403288958496
"20","20622",383,17405.31,"ZCTA5 20622","B01003_001",6692,1191,57.2325164375374
"21","20623",103,2147.44,"ZCTA5 20623","B01003_001",2619,348,39.327987781596
"22","20624",18,727.23,"ZCTA5 20624","B01003_001",1242,283,14.4927536231884
"23","20625",26,1835.37,"ZCTA5 20625","B01003_001",929,416,27.9870828848224
"24","20626",16,1488.6,"ZCTA5 20626","B01003_001",278,121,57.5539568345324
"25","20627",3,520.24,NA,NA,NA,NA,NA
"26","20628",88,2661.53,"ZCTA5 20628","B01003_001",452,257,194.690265486726
"27","20630",57,8129.48,"ZCTA5 20630","B01003_001",192,137,296.875
"28","20632",74,1660.46,"ZCTA5 20632","B01003_001",314,155,235.668789808917
"29","20634",2590,41293.0599999999,"ZCTA5 20634","B01003_001",6961,1013,372.072978020399
"30","20636",1831,39801.9999999999,"ZCTA5 20636","B01003_001",11295,1428,162.107127047366
"31","20637",1342,50569.8899999999,"ZCTA5 20637","B01003_001",5288,639,253.782148260212
"32","20639",4060,78700.2900000003,"ZCTA5 20639","B01003_001",15216,1167,266.824395373291
"33","20640",1132,23500.45,"ZCTA5 20640","B01003_001",11113,874,101.862683343832
"34","20645",104,2337.07,"ZCTA5 20645","B01003_001",653,154,159.264931087289
"35","20646",5750,92164.8600000004,"ZCTA5 20646","B01003_001",22583,975,254.616304299694
"36","20650",6687,111278.180000001,"ZCTA5 20650","B01003_001",14069,1305,475.300305636506
"37","20653",2289,45948.46,"ZCTA5 20653","B01003_001",26112,1521,87.6608455882353
"38","20656",4,4,NA,NA,NA,NA,NA
"39","20657",1350,80439.9200000004,"ZCTA5 20657","B01003_001",19711,1125,68.4896758155345
"40","20658",11,1121.18,"ZCTA5 20658","B01003_001",858,220,12.8205128205128
"41","20659",3755,91069.1900000005,"ZCTA5 20659","B01003_001",23030,1602,163.048198002605
"42","20660",2,2000,"ZCTA5 20660","B01003_001",0,13,Inf
"43","20662",133,9742.39,"ZCTA5 20662","B01003_001",2333,457,57.0081440205744
"44","20664",281,8245.47,"ZCTA5 20664","B01003_001",3285,595,85.5403348554034
"45","20667",30,1417.13,"ZCTA5 20667","B01003_001",868,617,34.5622119815668
"46","20670",19,705.89,"ZCTA5 20670","B01003_001",1620,451,11.7283950617284
"47","20674",209,9114.10000000001,"ZCTA5 20674","B01003_001",1082,444,193.160813308688
"48","20675",131,4188.69,"ZCTA5 20675","B01003_001",1662,384,78.820697954272
"49","20676",691,23146.86,"ZCTA5 20676","B01003_001",3631,652,190.305700908841
"50","20677",10510,52261.3000000004,"ZCTA5 20677","B01003_001",2215,341,4744.92099322799
"51","20678",2547,50940.4999999999,"ZCTA5 20678","B01003_001",12418,857,205.105492027702
