"","GEOID","donations","total","NAME","variable","estimate","moe","donations_percapita"
"1","20601",6976,190404.73,"ZCTA5 20601","B01003_001",26236,1592,265.894191187681
"2","20602",6758,109716.82,"ZCTA5 20602","B01003_001",26835,1607,251.835289733557
"3","20603",12854,248108.610000001,"ZCTA5 20603","B01003_001",32726,1599,392.776385748335
"4","20604",247,8033.67,NA,NA,NA,NA,NA
"5","20606",11,131.43,"ZCTA5 20606","B01003_001",314,129,35.031847133758
"6","20607",6889,181393.81,"ZCTA5 20607","B01003_001",10755,1740,640.539284053928
"7","20608",337,2569.72,"ZCTA5 20608","B01003_001",739,173,456.021650879567
"8","20609",61,2290,"ZCTA5 20609","B01003_001",1211,310,50.3715937241949
"9","20610",68,1669.2,NA,NA,NA,NA,NA
"10","20611",46,1206,"ZCTA5 20611","B01003_001",1354,242,33.97341211226
"11","20612",21,399.17,"ZCTA5 20612","B01003_001",181,115,116.022099447514
"12","20613",6436,170352.85,"ZCTA5 20613","B01003_001",13240,968,486.102719033233
"13","20614",21,409,NA,NA,NA,NA,NA
"14","20615",25,633,"ZCTA5 20615","B01003_001",513,243,48.7329434697856
"15","20616",1703,38740.9,"ZCTA5 20616","B01003_001",6728,1155,253.121284185493
"16","20617",274,7542.26,"ZCTA5 20617","B01003_001",715,204,383.216783216783
"17","20618",313,6069.32,"ZCTA5 20618","B01003_001",402,176,778.606965174129
"18","20619",2733,63659.0100000001,"ZCTA5 20619","B01003_001",13845,1470,197.399783315276
"19","20620",393,7357.65,"ZCTA5 20620","B01003_001",1688,561,232.81990521327
"20","20621",66,967,"ZCTA5 20621","B01003_001",1277,469,51.6836335160532
"21","20622",356,8922.11,"ZCTA5 20622","B01003_001",6692,1191,53.1978481769277
"22","20623",2075,33616.96,"ZCTA5 20623","B01003_001",2619,348,792.287132493318
"23","20624",60,795,"ZCTA5 20624","B01003_001",1242,283,48.3091787439614
"24","20625",454,9224.02,"ZCTA5 20625","B01003_001",929,416,488.697524219591
"25","20626",240,3636.86,"ZCTA5 20626","B01003_001",278,121,863.309352517986
"26","20627",8,40,NA,NA,NA,NA,NA
"27","20628",43,12163.26,"ZCTA5 20628","B01003_001",452,257,95.1327433628319
"28","20629",37,813,"ZCTA5 20629","B01003_001",525,381,70.4761904761905
"29","20630",371,24333.75,"ZCTA5 20630","B01003_001",192,137,1932.29166666667
"30","20632",21,2812.5,"ZCTA5 20632","B01003_001",314,155,66.8789808917197
"31","20634",1095,27256.0799999999,"ZCTA5 20634","B01003_001",6961,1013,157.30498491596
"32","20635",23,1176,NA,NA,NA,NA,NA
"33","20636",2316,58391.37,"ZCTA5 20636","B01003_001",11295,1428,205.046480743692
"34","20637",2083,40167.07,"ZCTA5 20637","B01003_001",5288,639,393.910741301059
"35","20638",24,729.74,NA,NA,NA,NA,NA
"36","20639",3313,119571.29,"ZCTA5 20639","B01003_001",15216,1167,217.731335436383
"37","20640",1569,24599.83,"ZCTA5 20640","B01003_001",11113,874,141.185998380275
"38","20644",33,659,NA,NA,NA,NA,NA
"39","20645",199,10778.3,"ZCTA5 20645","B01003_001",653,154,304.747320061256
"40","20646",5566,130374.95,"ZCTA5 20646","B01003_001",22583,975,246.468582562104
"41","20647",1,39.8,NA,NA,NA,NA,NA
"42","20649",6,330,NA,NA,NA,NA,NA
"43","20650",3964,144375.84,"ZCTA5 20650","B01003_001",14069,1305,281.754211386737
"44","20653",3608,81705.0799999999,"ZCTA5 20653","B01003_001",26112,1521,138.174019607843
"45","20656",38,1569.76,NA,NA,NA,NA,NA
"46","20657",5067,125720.03,"ZCTA5 20657","B01003_001",19711,1125,257.064583227639
"47","20658",288,10475.37,"ZCTA5 20658","B01003_001",858,220,335.664335664336
"48","20659",2061,66697.38,"ZCTA5 20659","B01003_001",23030,1602,89.4919669995658
"49","20660",5,190,"ZCTA5 20660","B01003_001",0,13,Inf
"50","20662",316,3207.02,"ZCTA5 20662","B01003_001",2333,457,135.44792113159
"51","20663",6,135,NA,NA,NA,NA,NA
"52","20664",225,19794.23,"ZCTA5 20664","B01003_001",3285,595,68.4931506849315
"53","20667",37,1525.39,"ZCTA5 20667","B01003_001",868,617,42.6267281105991
"54","20669",1,20,NA,NA,NA,NA,NA
"55","20670",100,2542.67,"ZCTA5 20670","B01003_001",1620,451,61.7283950617284
"56","20674",355,9889.67,"ZCTA5 20674","B01003_001",1082,444,328.096118299445
"57","20675",265,13192.1,"ZCTA5 20675","B01003_001",1662,384,159.446450060168
"58","20676",4042,51759.59,"ZCTA5 20676","B01003_001",3631,652,1113.19195813825
"59","20677",666,19220.51,"ZCTA5 20677","B01003_001",2215,341,300.677200902935
"60","20678",2380,49224.86,"ZCTA5 20678","B01003_001",12418,857,191.657271702368
"61","20679",1,250,NA,NA,NA,NA,NA
"62","20680",87,6197.36,"ZCTA5 20680","B01003_001",649,234,134.052388289676
"63","20682",3,153,NA,NA,NA,NA,NA
"64","20683",6,280,NA,NA,NA,NA,NA
"65","20684",90,3067.24,"ZCTA5 20684","B01003_001",784,265,114.795918367347
"66","20685",2422,44961.41,"ZCTA5 20685","B01003_001",6732,791,359.774212715389
"67","20686",776,26377.35,"ZCTA5 20686","B01003_001",1639,517,473.459426479561
"68","20687",80,2937.49,"ZCTA5 20687","B01003_001",429,198,186.480186480186
"69","20688",3855,84676.2900000001,"ZCTA5 20688","B01003_001",1945,588,1982.00514138817
"70","20689",201,18325.74,"ZCTA5 20689","B01003_001",2386,628,84.2414082145851
"71","20690",697,10894.63,"ZCTA5 20690","B01003_001",950,306,733.684210526316
"72","20691",4,84,NA,NA,NA,NA,NA
"73","20692",161,5585.11,"ZCTA5 20692","B01003_001",684,318,235.380116959064
"74","20693",226,5676.37,"ZCTA5 20693","B01003_001",1171,547,192.997438087105
"75","20694",3,28,NA,NA,NA,NA,NA
"76","20695",4407,98344.9699999999,"ZCTA5 20695","B01003_001",8400,1028,524.642857142857
"77","20696",2,189.92,NA,NA,NA,NA,NA
"78","20697",12,89,NA,NA,NA,NA,NA
"79","20698",11,205.5,NA,NA,NA,NA,NA
"80","20701",127,5610.76,"ZCTA5 20701","B01003_001",760,548,167.105263157895
"81","20702",2,42,NA,NA,NA,NA,NA
"82","20703",225,2404.51,NA,NA,NA,NA,NA
"83","20704",71,1503.76,NA,NA,NA,NA,NA
"84","20705",8949,263127.969999999,"ZCTA5 20705","B01003_001",28348,1742,315.683646112601
"85","20706",12313,314519.869999999,"ZCTA5 20706","B01003_001",45329,2502,271.63625934832
"86","20707",16759,392772.429999999,"ZCTA5 20707","B01003_001",32184,1133,520.724583644047
"87","20708",7135,155413.97,"ZCTA5 20708","B01003_001",26842,1931,265.814767901051
"88","20709",69,826,NA,NA,NA,NA,NA
"89","20710",645,28141.24,"ZCTA5 20710","B01003_001",9483,262,68.0164504903512
"90","20711",1572,67949.21,"ZCTA5 20711","B01003_001",7400,1091,212.432432432432
"91","20712",4346,127500.21,"ZCTA5 20712","B01003_001",9649,441,450.409368846513
"92","20713",38,307,NA,NA,NA,NA,NA
"93","20714",2108,41288.53,"ZCTA5 20714","B01003_001",5331,886,395.422997561433
"94","20715",17641,314771.770000002,"ZCTA5 20715","B01003_001",27360,1166,644.773391812865
"95","20716",9976,277360.82,"ZCTA5 20716","B01003_001",22223,1168,448.904288349908
"96","20717",56,1502.75,NA,NA,NA,NA,NA
"97","20718",237,5407,NA,NA,NA,NA,NA
"98","20719",14,385,NA,NA,NA,NA,NA
"99","20720",17274,545108.189999998,"ZCTA5 20720","B01003_001",23618,1488,731.391311711407
"100","20721",27247,1016134.51,"ZCTA5 20721","B01003_001",30121,1891,904.584841140732
"101","20722",4938,57960.5500000001,"ZCTA5 20722","B01003_001",5604,533,881.156316916488
"102","20723",12363,402577.18,"ZCTA5 20723","B01003_001",36082,1969,342.636217504573
"103","20724",6276,110552.96,"ZCTA5 20724","B01003_001",17681,1751,354.957298795317
"104","20725",122,5023.42,NA,NA,NA,NA,NA
"105","20726",62,948,NA,NA,NA,NA,NA
"106","20727",5,13,NA,NA,NA,NA,NA
"107","20729",3,70.17,NA,NA,NA,NA,NA
"108","20730",2,25,NA,NA,NA,NA,NA
"109","20731",115,653,NA,NA,NA,NA,NA
"110","20732",4164,104842.46,"ZCTA5 20732","B01003_001",10295,664,404.468188440991
"111","20733",1910,50651.11,"ZCTA5 20733","B01003_001",2645,651,722.117202268431
"112","20734",20,578,NA,NA,NA,NA,NA
"113","20735",15308,316990.63,"ZCTA5 20735","B01003_001",37009,1755,413.629117241752
"114","20736",3030,72934.04,"ZCTA5 20736","B01003_001",8715,949,347.676419965577
"115","20737",3706,102120.56,"ZCTA5 20737","B01003_001",22666,1555,163.50480896497
"116","20738",65,964,NA,NA,NA,NA,NA
"117","20739",4,160,NA,NA,NA,NA,NA
"118","20740",12587,317914.89,"ZCTA5 20740","B01003_001",31723,643,396.77836270214
"119","20741",1486,40967.23,NA,NA,NA,NA,NA
"120","20742",56,12867.61,"ZCTA5 20742","B01003_001",6511,402,8.60082936568883
"121","20743",6852,165297.13,"ZCTA5 20743","B01003_001",38747,1572,176.8394972514
"122","20744",31497,615052.969999999,"ZCTA5 20744","B01003_001",54572,2345,577.16411346478
"123","20745",12754,230824.94,"ZCTA5 20745","B01003_001",27503,1820,463.731229320438
"124","20746",5612,110835.93,"ZCTA5 20746","B01003_001",26396,2012,212.607970904683
"125","20747",9223,156460.63,"ZCTA5 20747","B01003_001",41128,1853,224.251118459444
"126","20748",12089,230580.970000001,"ZCTA5 20748","B01003_001",38720,2347,312.215909090909
"127","20749",123,2894.23,NA,NA,NA,NA,NA
"128","20750",732,10758.44,NA,NA,NA,NA,NA
"129","20751",943,30918.43,"ZCTA5 20751","B01003_001",1972,323,478.194726166329
"130","20752",39,1026,NA,NA,NA,NA,NA
"131","20753",147,2130,NA,NA,NA,NA,NA
"132","20754",1806,52836.89,"ZCTA5 20754","B01003_001",6950,1028,259.856115107914
"133","20755",718,13748.61,"ZCTA5 20755","B01003_001",11340,1301,63.31569664903
"134","20757",115,2539.17,NA,NA,NA,NA,NA
"135","20758",169,6653.17,"ZCTA5 20758","B01003_001",486,173,347.736625514403
"136","20759",4003,216717.45,"ZCTA5 20759","B01003_001",4721,509,847.913577631858
"137","20762",160,2821.08,"ZCTA5 20762","B01003_001",3316,485,48.2509047044632
"138","20763",1067,16640.29,"ZCTA5 20763","B01003_001",1955,533,545.780051150895
"139","20764",1593,58113.2899999999,"ZCTA5 20764","B01003_001",3482,587,457.495692130959
"140","20765",376,18800.06,"ZCTA5 20765","B01003_001",530,253,709.433962264151
"141","20768",190,4025.74,NA,NA,NA,NA,NA
"142","20769",7457,183612.53,"ZCTA5 20769","B01003_001",6172,1162,1208.19831497084
"143","20770",17073,470197.819999997,"ZCTA5 20770","B01003_001",24602,548,693.967970083733
"144","20771",16,223,NA,NA,NA,NA,NA
"145","20772",24555,701566.209999997,"ZCTA5 20772","B01003_001",46471,2511,528.394052204601
"146","20773",348,13695.67,NA,NA,NA,NA,NA
"147","20774",28133,790564.260000002,"ZCTA5 20774","B01003_001",49907,2104,563.708497805919
"148","20775",333,8819.52,NA,NA,NA,NA,NA
"149","20776",1344,43335.32,"ZCTA5 20776","B01003_001",2940,545,457.142857142857
"150","20777",2707,111532.36,"ZCTA5 20777","B01003_001",3444,447,786.004645760743
"151","20778",1436,39547.17,"ZCTA5 20778","B01003_001",2460,680,583.739837398374
"152","20779",687,29339.6,"ZCTA5 20779","B01003_001",956,279,718.619246861925
"153","20781",5853,231033.89,"ZCTA5 20781","B01003_001",11460,964,510.732984293194
"154","20782",12863,595571.079999998,"ZCTA5 20782","B01003_001",32527,1828,395.456082639038
